Moyenne;Variance
0.9375;0.0585938
0.9375;0.0585938
0.96875;0.0302734
0.9375;0.0585938
0.9375;0.0585938
0.9375;0.0585938
0.953125;0.0446777
0.921875;0.0720215
0.921875;0.0720215
0.953125;0.0446777
0.96875;0.0302734
0.953125;0.0446777
0.984375;0.0153809
0.953125;0.0446777
0.984375;0.0153809
0.984375;0.0153809
0.953125;0.0446777
0.953125;0.0446777
0.9375;0.0585938
0.9375;0.0585938
0.921875;0.0720215
0.953125;0.0446777
0.921875;0.0720215
0.96875;0.0302734
0.9375;0.0585938
0.96875;0.0302734
0.90625;0.0849609
0.96875;0.0302734
0.9375;0.0585938
0.953125;0.0446777
0.953125;0.0446777
0.9375;0.0585938
0.9375;0.0585938
0.953125;0.0446777
0.9375;0.0585938
0.953125;0.0446777
0.890625;0.0974121
0.921875;0.0720215
0.90625;0.0849609
0.96875;0.0302734
0.9375;0.0585938
0.953125;0.0446777
0.90625;0.0849609
0.953125;0.0446777
0.96875;0.0302734
0.984375;0.0153809
0.953125;0.0446777
0.84375;0.131836
0.953125;0.0446777
0.984375;0.0153809
0.921875;0.0720215
0.921875;0.0720215
0.953125;0.0446777
0.90625;0.0849609
0.984375;0.0153809
0.921875;0.0720215
0.96875;0.0302734
0.984375;0.0153809
0.890625;0.0974121
0.984375;0.0153809
0.890625;0.0974121
0.921875;0.0720215
0.921875;0.0720215
0.90625;0.0849609
0.90625;0.0849609
0.953125;0.0446777
0.9375;0.0585938
0.90625;0.0849609
0.9375;0.0585938
0.921875;0.0720215
0.921875;0.0720215
0.984375;0.0153809
0.90625;0.0849609
0.9375;0.0585938
0.96875;0.0302734
0.90625;0.0849609
0.96875;0.0302734
0.96875;0.0302734
0.9375;0.0585938
0.9375;0.0585938
0.9375;0.0585938
0.921875;0.0720215
0.9375;0.0585938
0.9375;0.0585938
0.953125;0.0446777
0.9375;0.0585938
0.890625;0.0974121
0.953125;0.0446777
0.953125;0.0446777
0.921875;0.0720215
0.921875;0.0720215
0.96875;0.0302734
0.9375;0.0585938
0.9375;0.0585938
0.984375;0.0153809
0.9375;0.0585938
0.921875;0.0720215
0.921875;0.0720215
0.921875;0.0720215
0.9375;0.0585938
0.9375;0.0585938
0.921875;0.0720215
0.96875;0.0302734
0.90625;0.0849609
0.953125;0.0446777
0.96875;0.0302734
0.984375;0.0153809
0.953125;0.0446777
0.9375;0.0585938
0.9375;0.0585938
0.96875;0.0302734
0.953125;0.0446777
0.9375;0.0585938
0.9375;0.0585938
0.96875;0.0302734
0.921875;0.0720215
0.9375;0.0585938
0.90625;0.0849609
0.984375;0.0153809
0.90625;0.0849609
0.953125;0.0446777
0.96875;0.0302734
0.96875;0.0302734
0.90625;0.0849609
0.9375;0.0585938
0.921875;0.0720215
0.96875;0.0302734
0.953125;0.0446777
0.9375;0.0585938
0.984375;0.0153809
0.96875;0.0302734
0.96875;0.0302734
0.953125;0.0446777
0.984375;0.0153809
0.921875;0.0720215
0.90625;0.0849609
0.953125;0.0446777
0.9375;0.0585938
0.9375;0.0585938
0.90625;0.0849609
0.921875;0.0720215
0.96875;0.0302734
0.9375;0.0585938
0.953125;0.0446777
0.984375;0.0153809
0.9375;0.0585938
0.859375;0.12085
0.90625;0.0849609
0.90625;0.0849609
0.984375;0.0153809
0.90625;0.0849609
0.96875;0.0302734
0.484375;0.249756
0.234375;0.179443
0.234375;0.179443
0.21875;0.170898
0.234375;0.179443
0.234375;0.179443
0.203125;0.161865
0.21875;0.170898
0.234375;0.179443
0.296875;0.20874
0.921875;0.0720215
0.953125;0.0446777
0.9375;0.0585938
0.890625;0.0974121
0.21875;0.170898
0.671875;0.220459
0.765625;0.179443
0.234375;0.179443
0.875;0.109375
0.671875;0.220459
0.234375;0.179443
0.21875;0.170898
0.25;0.1875
0.234375;0.179443
0.234375;0.179443
0.25;0.1875
0.25;0.1875
0.234375;0.179443
0.234375;0.179443
0.859375;0.12085
0.921875;0.0720215
0.9375;0.0585938
0.84375;0.131836
0.9375;0.0585938
0.96875;0.0302734
0.921875;0.0720215
1;0
0.34375;0.225586
0.140625;0.12085
0.34375;0.225586
0.328125;0.220459
0.328125;0.220459
0.328125;0.220459
0.359375;0.230225
0.328125;0.220459
0.1875;0.152344
0.109375;0.0974121
0.953125;0.0446777
0.640625;0.230225
0.734375;0.195068
0.9375;0.0585938
0;0
0.578125;0.243896
0.734375;0.195068
0;0
0.8125;0.152344
0.59375;0.241211
0.046875;0.0446777
0.34375;0.225586
0.34375;0.225586
0.359375;0.230225
0.375;0.234375
0.375;0.234375
0.359375;0.230225
0.28125;0.202148
0;0
0.828125;0.142334
0.96875;0.0302734
0.96875;0.0302734
0.953125;0.0446777
0.9375;0.0585938
0.9375;0.0585938
0.921875;0.0720215
0.9375;0.0585938
0.34375;0.225586
0.375;0.234375
0.9375;0.0585938
0.9375;0.0585938
0.9375;0.0585938
0.96875;0.0302734
0.96875;0.0302734
0.875;0.109375
0.59375;0.241211
0.125;0.109375
0.953125;0.0446777
0.234375;0.179443
0.34375;0.225586
0.9375;0.0585938
0;0
0.609375;0.238037
0.75;0.1875
0;0
0.828125;0.142334
0.59375;0.241211
0.109375;0.0974121
0.953125;0.0446777
0.921875;0.0720215
0.9375;0.0585938
0.9375;0.0585938
0.890625;0.0974121
0.953125;0.0446777
0.828125;0.142334
0;0
0.765625;0.179443
0.953125;0.0446777
0.890625;0.0974121
0.96875;0.0302734
0.953125;0.0446777
0.9375;0.0585938
0.90625;0.0849609
0.96875;0.0302734
0.34375;0.225586
0.34375;0.225586
0.953125;0.0446777
0;0
0;0
0;0
0;0
0.78125;0.170898
0.5625;0.246094
0.125;0.109375
0.9375;0.0585938
0.1875;0.152344
0.359375;0.230225
0.953125;0.0446777
0;0
0;0
0.234375;0.179443
0.90625;0.0849609
0.953125;0.0446777
0.5625;0.246094
0.125;0.109375
0.984375;0.0153809
0.25;0.1875
0;0
0;0
0;0
0.5625;0.246094
0.84375;0.131836
0;0
0.8125;0.152344
0.96875;0.0302734
0.875;0.109375
0.921875;0.0720215
0.921875;0.0720215
0.984375;0.0153809
0.953125;0.0446777
0.921875;0.0720215
0.328125;0.220459
0.359375;0.230225
0.90625;0.0849609
0;0
0;0
0;0
0;0
0.78125;0.170898
0.59375;0.241211
0.125;0.109375
0.875;0.109375
0.71875;0.202148
0.75;0.1875
0.953125;0.0446777
0.609375;0.238037
